subject_key,subject_name,concept,semantic_type,strategy_type,quality,latest_stock_trade_date,latest_leaderboard_trade_date,leaderboard_count,recent_event_count,confusion_subject_keys,generic_anchor_ratio,anchor_count,alias_generic_count,negative_terms_count,confusion_overlap_score,stock_pool_size,recent_heat_score,false_positive_risk,priority_score,generic_terms
9048348,小鹏汇天,小鹏汇天,技术突破与产业化,industry_chain,strong,2026-05-15,2026-04-24,20,0,"[""9014193"", ""9013055"", ""9012396"", ""9030037"", ""9043063"", ""9025720"", ""9060827"", ""9057151""]",0.0,7,0,3,0.037,20,0.0188,0.0093,16.03,[]
9015208,复合集流体,复合集流体,技术突破,industry_chain,strong,2026-05-15,2026-04-24,16,0,"[""9023134"", ""9012747"", ""9035101"", ""9058770"", ""9027590"", ""9010317""]",0.0,7,0,8,0.0417,16,0.015,0.0104,16.0,[]
9063810,电科蓝天IPO,电科蓝天IPO,公司业务与核心竞争力,industry_chain,medium,2026-05-15,2026-04-24,15,0,"[""9015235"", ""9010168"", ""9064681"", ""9011609""]",0.0,5,0,5,0.0417,15,0.0141,0.0104,15.98,[]
9022064,碳化硅,碳化硅,技术突破与产业链,industry_chain,strong,2026-05-15,2026-04-24,21,0,"[""9050315""]",0.0,7,0,8,0.0294,23,0.0216,0.0074,15.98,[]
9019314,华为液冷快充,华为液冷快充,技术突破,industry_chain,strong,2026-05-15,2026-04-24,20,0,"[""9055743"", ""9038814"", ""9026753"", ""9039664"", ""9012413""]",0.0,4,0,1,0.0333,20,0.0188,0.0083,15.97,[]
9064061,Token出海,Token出海,跨境AI服务贸易,industry_chain,strong,2026-05-15,2026-04-24,17,0,"[""9064302"", ""9065423"", ""9027100""]",0.0,8,0,8,0.037,17,0.016,0.0093,15.96,[]
9032131,一道新能源,一道新能源,公司事件,industry_chain,medium,2026-05-15,2026-04-24,18,0,"[""9065262""]",0.0,3,0,1,0.0357,18,0.0169,0.0089,15.96,[]
9027131,商汤模型,商汤模型,技术突破,industry_chain,strong,2026-05-15,2026-04-24,10,0,"[""9062454"", ""9040603"", ""9022152"", ""9055220"", ""9021988"", ""9023110"", ""9040419""]",0.0,5,0,2,0.0476,10,0.0094,0.0119,15.95,[]
9039664,端侧SOC芯片,端侧SOC芯片,技术突破,industry_chain,strong,2026-05-15,2026-04-24,21,0,"[""9019314"", ""9055220"", ""9038814"", ""9034134"", ""9016139""]",0.0,6,0,2,0.0303,21,0.0197,0.0076,15.95,[]
9064078,元素磷与草甘膦,元素磷与草甘膦,产业链/供应链,industry_chain,medium,2026-05-15,2026-04-24,15,0,"[""9034539"", ""9040800"", ""9060827"", ""9034134"", ""9023265"", ""9014636"", ""9040246"", ""9014701""]",0.0,6,0,8,0.0385,15,0.0141,0.0096,15.93,[]
9014573,港口,港口,技术应用与产业链,industry_chain,strong,2026-05-15,2026-04-24,16,0,"[""9033525"", ""9023196"", ""9011782"", ""9030744"", ""9043698""]",0.0,5,0,8,0.037,16,0.015,0.0093,15.93,[]
9011981,水泥,水泥,产业链/供需变化,industry_chain,strong,2026-05-15,2026-04-24,19,0,"[""9063531"", ""9052280"", ""9052240"", ""9010250"", ""9027969"", ""9011817""]",0.0,6,0,7,0.0323,19,0.0179,0.0081,15.93,[]
9064498,三桶油,三桶油,国有能源企业,industry_chain,medium,2026-05-15,2026-04-24,14,0,"[""9036397"", ""9016356"", ""9019349"", ""9012065"", ""9035185"", ""9064513"", ""9016541"", ""9064395""]",0.0,3,0,6,0.037,14,0.0132,0.0093,15.89,[]
9023131,特斯拉储能工厂,特斯拉储能工厂,技术产品与产业链,industry_chain,medium,2026-05-15,2026-04-24,9,0,"[""9034539"", ""9021988"", ""9056494"", ""9062206"", ""9020715"", ""9014072"", ""9011609""]",0.0,4,0,2,0.04,10,0.0094,0.01,15.84,[]
9056616,联发科,联发科,半导体产业链技术,industry_chain,strong,2026-05-15,2026-04-24,14,0,"[""9031192"", ""9059704"", ""9028878"", ""9064082"", ""9055743"", ""9056580"", ""9035185"", ""9040800""]",0.0,6,0,4,0.0333,14,0.0132,0.0083,15.83,[]
9055743,超硬AR镀膜玻璃,超硬AR镀膜玻璃,技术突破,industry_chain,strong,2026-05-15,2026-04-24,13,0,"[""9019314"", ""9040800"", ""9038814"", ""9026753"", ""9056616""]",0.0,3,0,1,0.0333,13,0.0122,0.0083,15.8,[]
9012060,眼科,眼科,产业链/供应链,industry_chain,strong,2026-05-15,2026-04-24,15,0,"[""9017526"", ""9064972"", ""9054145""]",0.0,7,0,5,0.0294,15,0.0141,0.0074,15.8,[]
9019056,阿尔兹海默症,阿尔兹海默症,疾病与医疗技术,industry_chain,strong,2026-05-15,2026-04-24,16,0,"[""9035874""]",0.0,7,0,2,0.0286,16,0.015,0.0071,15.8,[]
9053622,盾构机,盾构机,产业链/供应链,industry_chain,strong,2026-05-15,2026-04-24,16,0,"[""9025437"", ""9053660""]",0.0,6,0,5,0.0286,16,0.015,0.0071,15.8,[]
9054190,洪涝灾害,洪涝灾害,应急设备与装备,industry_chain,strong,2026-05-15,2026-04-24,33,0,[],0.0,7,0,7,0.0,33,0.031,0.0,15.78,[]
9062699,mRNA技术,mRNA技术,技术突破,industry_chain,strong,2026-05-15,2026-04-24,11,0,"[""9025631""]",0.0,3,0,3,0.0333,11,0.0103,0.0083,15.76,[]
9062516,豆包十大核心,豆包十大核心,技术应用与场景融合,industry_chain,medium,2026-05-15,2026-04-24,10,0,"[""9062579"", ""9020790"", ""9037499"", ""9043089"", ""9050371"", ""9034859""]",0.0,7,0,3,0.0345,10,0.0094,0.0086,15.75,[]
9017184,CXO医药外包,CXO医药外包,产业链/供应链,industry_chain,strong,2026-05-15,2026-04-24,32,0,[],0.0,5,0,4,0.0,32,0.0301,0.0,15.75,[]
9062731,携程,携程,市场竞争格局,industry_chain,medium,2026-05-15,2026-04-24,12,0,"[""9049774"", ""9046774"", ""9035171""]",0.0,3,0,3,0.0303,12,0.0113,0.0076,15.74,[]
9019937,石墨烯,石墨烯,新材料技术,industry_chain,strong,2026-05-15,2026-04-24,11,0,"[""9017116"", ""9030805""]",0.0,6,0,8,0.0312,11,0.0103,0.0078,15.73,[]
9026753,偏苯三酸酐,偏苯三酸酐,化工原料产业链,industry_chain,strong,2026-05-15,2026-04-24,10,0,"[""9055743"", ""9019314"", ""9038814"", ""9065541"", ""9063564""]",0.0,7,0,1,0.0323,10,0.0094,0.0081,15.72,[]
9025153,人造肉,人造肉,技术突破与食品创新,industry_chain,strong,2026-05-15,2026-04-24,6,0,"[""9023196"", ""9027497""]",0.0,6,0,5,0.037,6,0.0056,0.0093,15.7,[]
9063564,AI变压器,AI变压器,技术产业链,industry_chain,strong,2026-05-15,2026-04-24,10,0,"[""9064110"", ""9038599"", ""9026753""]",0.0,6,0,8,0.0294,10,0.0094,0.0074,15.68,[]
9035925,科学仪器,科学仪器,产业链/供应链,industry_chain,medium,2026-05-15,2026-04-24,10,0,"[""9058770""]",0.0,5,0,5,0.0286,10,0.0094,0.0071,15.66,[]
9064753,煤制油,煤制油,技术路线与产业链,industry_chain,strong,2026-05-15,2026-04-24,7,0,"[""9064972"", ""9064639""]",0.0,7,0,2,0.0294,7,0.0066,0.0074,15.61,[]
9057022,英伟达MLCP,英伟达MLCP,技术突破,industry_chain,strong,2026-05-15,2026-04-24,25,0,[],0.0,5,0,3,0.0,25,0.0235,0.0,15.59,[]
9047758,泡泡玛特,泡泡玛特,公司产业链与市场现象,industry_chain,strong,2026-05-15,2026-04-24,23,0,[],0.0,4,0,2,0.0,23,0.0216,0.0,15.54,[]
9043283,华为医疗军团,华为医疗军团,组织架构与商业模式,industry_chain,strong,2026-05-15,2026-04-24,22,0,[],0.0,4,0,3,0.0,22,0.0207,0.0,15.52,[]
9028047,光伏新技术,光伏新技术,技术突破与产业链优化,industry_chain,strong,2026-05-15,2026-04-24,20,0,[],0.0,7,0,8,0.0,20,0.0188,0.0,15.47,[]
9061804,航天发射场,航天发射场,基础设施/航天发射基地,industry_chain,strong,2026-05-15,2026-04-24,20,0,[],0.0,6,0,1,0.0,20,0.0188,0.0,15.47,[]
9047210,生物可降解材料,生物可降解材料,技术瓶颈与成本问题,industry_chain,medium,2026-05-15,2026-04-24,19,0,[],0.0,5,0,1,0.0,19,0.0179,0.0,15.45,[]
9052162,海军,海军,产业链/供应链,industry_chain,strong,2026-05-15,2026-04-24,19,0,[],0.0,7,0,8,0.0,19,0.0179,0.0,15.45,[]
9049090,HVDC高压直流,HVDC高压直流,技术突破与应用,industry_chain,strong,2026-05-15,2026-04-24,16,0,[],0.0,4,0,8,0.0,16,0.015,0.0,15.38,[]
9057121,开普勒机器人,开普勒机器人,技术突破,industry_chain,medium,2026-04-15,2026-04-15,8,0,[],0.0,7,0,8,0.0,16,0.015,0.0,15.38,[]
9023365,烟花,烟花,节庆消费事件,event_driven,medium,2026-05-15,2026-04-24,15,0,[],0.0,4,0,1,0.0,15,0.0141,0.0,15.35,[]
9057419,福建舰,福建舰,军事技术应用与作战效能,industry_chain,strong,2026-05-15,2026-04-24,14,0,[],0.0,5,0,1,0.0,14,0.0132,0.0,15.33,[]
9062203,强脑科技IPO,强脑科技IPO,技术突破与商业化应用,industry_chain,strong,2026-05-15,2026-04-24,12,0,[],0.0,6,0,2,0.0,12,0.0113,0.0,15.28,[]
9026886,框架材料,框架材料,技术突破,industry_chain,medium,2026-05-15,2026-04-24,9,0,[],0.0,4,0,1,0.0,9,0.0085,0.0,15.21,[]
9027511,血制品,血制品,医疗产品与临床应用,industry_chain,medium,2026-05-15,2026-04-24,8,0,[],0.0,7,0,6,0.0,8,0.0075,0.0,15.19,[]
9063417,春节档电影,,节庆消费事件,event_driven,medium,,,0,0,"[""9048147"", ""9063449""]",0.0,4,0,0,0.0526,0,0.0,0.1132,6.79,[]
9063443,春节五大消费,,节庆消费事件,event_driven,strong,,,0,0,[],0.0,5,0,0,0.0,0,0.0,0.1,6.0,[]
9060949,9060949,,公司业务与技术突破,industry_chain,strong,,,0,0,"[""9064166"", ""9060827"", ""9011480"", ""9062206"", ""9019807""]",0.0,7,0,8,0.0606,0,0.0,0.0152,0.91,[]
